Electronics,Programming,Database,Data Science,Mathematics,DSA,Student Name
94,9,13,65,51,72,Student130
83,73,87,39,26,14,Student131
89,87,26,2,51,84,Student132
20,75,65,83,27,94,Student133
65,89,78,94,8,79,Student134
82,22,54,33,39,45,Student135
90,32,85,82,64,36,Student136
38,61,1,48,100,99,Student137
90,1,67,81,55,92,Student138
81,34,83,59,72,60,Student139
83,2,61,51,96,21,Student140
31,21,93,68,18,39,Student141
78,78,24,13,15,5,Student142
33,67,36,63,82,11,Student143
81,56,48,74,61,40,Student144
9,33,6,0,48,8,Student145
0,69,26,77,67,38,Student146
71,21,54,57,23,14,Student147
39,35,59,79,20,4,Student148
84,40,63,95,22,53,Student149
6,3,14,63,30,1,Student150
62,36,71,38,98,57,Student151
29,2,62,33,96,79,Student152
19,11,7,27,8,59,Student153
19,24,73,71,92,0,Student154
80,98,83,18,73,82,Student155
26,39,77,56,5,53,Student156
60,41,86,34,44,42,Student157
92,26,44,34,70,91,Student158
49,41,94,11,30,32,Student159
55,19,31,25,35,70,Student160
84,19,61,41,30,49,Student161
39,6,7,52,60,10,Student162
55,49,76,1,26,98,Student163
79,27,43,98,95,8,Student164
4,12,29,53,88,10,Student165
14,27,82,49,41,16,Student166
65,29,57,74,6,18,Student167
42,91,11,61,66,15,Student168
93,29,63,1,29,36,Student169
26,58,6,97,25,33,Student170
13,45,19,65,52,75,Student171
27,8,54,6,85,58,Student172
22,92,51,28,61,35,Student173
88,88,26,23,31,6,Student174
49,58,62,46,77,83,Student175
70,34,81,31,87,13,Student176
39,30,78,27,47,25,Student177
71,76,95,80,67,98,Student178
70,20,86,49,15,85,Student179
59,32,3,98,83,70,Student180
61,67,42,36,3,22,Student181
95,39,82,8,53,65,Student182
29,93,43,24,37,47,Student183
91,23,37,95,98,51,Student184
24,69,48,86,38,53,Student185
49,63,100,76,18,89,Student186
13,98,88,78,37,8,Student187
45,23,8,88,100,38,Student188
83,89,10,52,34,29,Student189
21,30,22,80,100,42,Student190
58,56,55,49,30,85,Student191
78,93,71,0,36,88,Student192
13,14,7,72,75,95,Student193
39,49,5,29,23,97,Student194
61,60,22,13,73,32,Student195
23,88,73,38,33,62,Student196
25,54,49,5,45,92,Student197
96,4,41,99,71,70,Student198
81,76,55,51,9,36,Student199
7,52,40,57,79,24,Student200
65,24,68,19,52,94,Student201
1,28,92,30,44,74,Student202
50,64,55,60,36,70,Student203
81,94,92,71,98,63,Student204
3,55,85,25,53,73,Student205
68,46,46,49,49,58,Student206
42,76,35,87,82,46,Student207
54,22,31,51,63,56,Student208
67,32,22,93,82,81,Student209
26,83,11,18,54,26,Student210
55,5,61,13,36,23,Student211
14,13,54,87,53,23,Student212
77,81,77,76,29,9,Student213
34,93,64,39,50,90,Student214
64,60,87,1,9,79,Student215
76,37,84,71,19,46,Student216
19,15,84,45,63,62,Student217
55,74,88,1,49,82,Student218
86,52,28,72,21,83,Student219
90,91,24,53,26,12,Student220
68,67,83,91,30,49,Student221
52,34,75,45,80,97,Student222
92,83,18,99,64,67,Student223
14,91,70,44,69,56,Student224
10,48,39,100,93,70,Student225
65,18,32,63,71,100,Student226
43,69,26,15,98,20,Student227
26,50,79,36,51,55,Student228
73,15,79,82,96,22,Student229
80,46,40,0,30,15,Student230
33,76,65,52,47,36,Student231
15,58,28,30,80,24,Student232
88,69,14,80,79,6,Student233
57,52,96,63,9,46,Student234
94,43,69,57,83,63,Student235
87,3,26,47,12,83,Student236
100,27,93,90,87,89,Student237
4,50,26,46,56,53,Student238
4,69,44,18,36,19,Student239
41,12,40,96,60,75,Student240
76,70,100,52,35,36,Student241
42,42,53,11,62,27,Student242
23,16,57,44,10,29,Student243
69,56,96,57,82,81,Student244
39,43,84,18,23,33,Student245
85,67,7,86,50,69,Student246
99,5,3,0,28,61,Student247
3,64,25,24,46,19,Student248
72,36,8,56,88,46,Student249
31,1,85,65,96,93,Student250
86,70,34,11,68,69,Student251
44,2,40,32,1,96,Student252
86,88,98,95,26,51,Student253
71,88,26,54,76,64,Student254
69,64,20,19,94,78,Student255
84,38,96,40,69,10,Student256
84,19,63,51,66,68,Student257
52,96,92,20,27,29,Student258
21,36,41,4,7,97,Student259
17,44,52,49,57,28,Student260
98,34,64,56,64,32,Student261
4,87,98,40,76,86,Student262
26,51,79,5,22,64,Student263
51,55,66,54,31,99,Student264
46,50,18,88,50,14,Student265
55,79,43,20,62,86,Student266
67,80,58,40,85,42,Student267
53,12,35,83,53,8,Student268
46,67,77,21,79,61,Student269
93,82,53,53,5,64,Student270
22,79,47,37,93,7,Student271
95,17,70,59,38,14,Student272
80,41,71,5,52,33,Student273
65,24,86,35,16,57,Student274
37,3,41,87,76,31,Student275
28,44,83,40,94,95,Student276
59,75,77,87,31,25,Student277
66,78,59,1,49,32,Student278
12,86,10,2,41,26,Student279
96,11,58,67,69,34,Student280
42,77,31,44,15,62,Student281
35,71,54,22,98,25,Student282
4,77,50,20,54,26,Student283
78,81,8,10,15,0,Student284
40,50,66,52,35,51,Student285
56,5,32,86,87,86,Student286
18,27,29,38,49,81,Student287
30,45,50,29,67,38,Student288
45,18,2,87,93,87,Student289
1,25,4,29,90,44,Student290
6,54,75,23,92,93,Student291
46,24,72,1,83,89,Student292
9,82,30,97,50,8,Student293
96,72,19,81,47,68,Student294
12,34,45,37,61,1,Student295
93,7,23,87,38,18,Student296
40,4,39,90,17,82,Student297
38,26,93,48,67,100,Student298
90,93,80,77,75,47,Student299
36,11,74,71,50,1,Student300
15,36,24,7,68,89,Student301
75,12,84,86,65,7,Student302
71,14,38,21,52,56,Student303
61,40,7,6,44,43,Student304
83,27,17,34,27,68,Student305
13,73,44,91,88,23,Student306
16,12,53,21,50,35,Student307
15,66,42,40,42,96,Student308
0,12,52,81,74,89,Student309
76,42,6,34,59,76,Student310
7,7,69,90,17,1,Student311
38,16,41,38,71,31,Student312
97,5,93,40,86,88,Student313
71,44,4,38,27,0,Student314
62,59,28,20,1,83,Student315
68,40,17,39,69,86,Student316
64,16,89,72,32,70,Student317
100,9,39,84,20,32,Student318
17,86,22,97,14,47,Student319
24,83,57,12,77,100,Student320
71,17,14,81,61,87,Student321
24,46,43,10,93,68,Student322
11,10,19,50,51,48,Student323
9,27,92,0,29,35,Student324
53,80,82,66,75,73,Student325
36,5,70,48,90,33,Student326
99,52,50,97,9,12,Student327
95,41,11,29,29,32,Student328
32,44,75,79,81,31,Student329
90,33,37,92,65,29,Student330
82,74,27,0,66,26,Student331
3,69,78,19,10,69,Student332
99,57,12,78,96,39,Student333
73,29,3,60,37,50,Student334
64,56,95,42,33,11,Student335
29,22,67,77,1,52,Student336
38,6,0,78,42,32,Student337
20,22,20,27,95,1,Student338
11,76,13,5,56,32,Student339
47,79,76,60,45,8,Student340
43,54,3,45,56,71,Student341
46,77,15,78,60,92,Student342
77,91,16,64,76,46,Student343
1,81,89,97,66,76,Student344
12,100,91,11,40,94,Student345
100,65,55,83,93,64,Student346
70,19,85,2,32,85,Student347
40,1,32,48,20,14,Student348
66,32,4,33,67,94,Student349
61,80,64,28,65,66,Student350
93,81,47,20,54,27,Student351
32,11,89,46,81,39,Student352
65,71,48,92,91,90,Student353
70,74,46,30,14,94,Student354
94,24,57,29,53,21,Student355
63,18,11,80,95,0,Student356
37,0,28,62,20,54,Student357
91,72,91,19,35,15,Student358
69,31,19,6,39,37,Student359
25,22,16,72,32,81,Student360
4,78,46,9,17,44,Student361
85,41,66,72,7,59,Student362
85,56,17,35,86,82,Student363
76,54,37,96,0,6,Student364
81,74,15,73,13,96,Student365
95,71,66,1,61,3,Student366
83,1,36,27,40,77,Student367
1,22,21,69,25,54,Student368
21,98,42,22,41,37,Student369
27,41,99,65,52,5,Student370
58,70,15,45,39,79,Student371
51,30,10,35,26,45,Student372
40,86,87,9,26,99,Student373
1,25,80,96,15,48,Student374
18,5,14,36,64,82,Student375
49,55,25,16,55,88,Student376
29,40,64,87,37,4,Student377
62,38,47,80,71,94,Student378
77,79,24,91,53,24,Student379
12,44,1,20,66,83,Student380
73,27,57,77,8,6,Student381
61,55,75,43,86,7,Student382
35,72,4,67,92,22,Student383
59,39,82,11,41,96,Student384
88,95,52,45,95,43,Student385
19,74,79,36,17,67,Student386
69,19,3,93,66,3,Student387
42,37,80,25,83,63,Student388
75,62,96,88,35,47,Student389
3,53,92,100,27,86,Student390
57,95,90,71,90,54,Student391
6,30,94,14,32,22,Student392
12,87,37,75,30,100,Student393
89,64,57,46,98,81,Student394
62,69,65,16,70,75,Student395
87,43,89,15,22,3,Student396
26,75,86,37,31,17,Student397
42,56,27,86,11,56,Student398
96,10,89,51,52,27,Student399
21,43,43,31,92,20,Student400
61,18,82,9,62,78,Student401
87,79,12,18,80,68,Student402
15,99,16,31,24,34,Student403
48,92,61,52,94,19,Student404
31,77,31,44,100,10,Student405
45,19,38,62,4,19,Student406
25,50,73,57,24,41,Student407
36,66,38,71,59,89,Student408
60,37,60,54,48,40,Student409
67,25,17,17,58,75,Student410
73,69,2,31,37,85,Student411
51,17,25,62,53,54,Student412
57,41,53,36,29,65,Student413
45,49,69,99,11,95,Student414
19,40,20,11,29,25,Student415
95,67,93,100,12,64,Student416
27,2,60,43,6,58,Student417
64,1,12,9,28,91,Student418
48,2,12,70,77,5,Student419
43,96,53,23,82,28,Student420
93,68,86,59,45,97,Student421
23,98,0,15,100,60,Student422
18,12,9,7,68,61,Student423
44,33,24,84,91,21,Student424
32,5,76,29,57,60,Student425
57,59,7,56,95,50,Student426
45,46,53,37,3,83,Student427
75,33,11,19,33,23,Student428
10,49,41,81,48,34,Student429
92,60,63,81,41,98,Student430
90,99,34,95,6,68,Student431
71,95,70,31,29,62,Student432
40,97,63,86,40,66,Student433
85,99,76,63,96,73,Student434
43,23,78,10,95,31,Student435
38,65,63,26,37,99,Student436
26,96,16,53,41,6,Student437
27,88,43,47,21,53,Student438
15,1,67,33,95,52,Student439
87,91,29,19,17,11,Student440
25,11,15,24,37,47,Student441
66,21,82,20,55,99,Student442
57,48,80,55,67,69,Student443
52,22,73,43,29,57,Student444
96,75,16,28,50,28,Student445
35,9,43,79,98,44,Student446
44,83,20,35,75,50,Student447
26,92,69,96,85,43,Student448
14,8,97,41,35,89,Student449
99,93,52,32,30,36,Student450
42,100,85,95,71,31,Student451
91,14,80,66,80,67,Student452
53,23,37,10,38,91,Student453
95,65,4,34,4,35,Student454
11,99,9,2,82,86,Student455
83,80,17,78,100,18,Student456
87,53,53,14,39,36,Student457
14,48,32,61,4,18,Student458
68,13,95,92,46,29,Student459
88,47,47,26,78,55,Student460
25,70,76,41,7,25,Student461
70,42,91,100,16,25,Student462
89,51,77,20,97,49,Student463
80,18,84,21,95,9,Student464
85,89,41,29,56,54,Student465
60,67,30,95,82,12,Student466
79,28,56,22,59,31,Student467
52,11,2,2,31,8,Student468
13,77,40,16,15,70,Student469
53,85,43,2,46,70,Student470
65,61,66,5,48,63,Student471
69,27,34,56,73,76,Student472
31,13,25,45,71,93,Student473
95,36,9,42,76,55,Student474
35,70,96,74,34,19,Student475
48,40,68,79,100,75,Student476
7,13,63,77,24,67,Student477
2,23,92,57,38,32,Student478
25,13,55,51,96,86,Student479
76,99,21,15,93,76,Student480
53,96,84,60,45,34,Student481
10,17,29,61,44,87,Student482
16,40,60,6,78,4,Student483
62,88,30,71,85,53,Student484
75,55,13,81,71,88,Student485
30,23,11,7,73,92,Student486
22,39,93,57,79,77,Student487
57,46,33,10,9,14,Student488
96,53,71,74,37,74,Student489
6,32,53,81,8,90,Student490
68,13,95,22,69,73,Student491
24,27,43,25,99,63,Student492
46,56,73,81,97,5,Student493
55,97,19,25,19,70,Student494
44,75,30,74,48,49,Student495
85,12,99,76,85,18,Student496
96,52,69,67,99,11,Student497
86,18,0,58,86,93,Student498
9,11,34,45,94,88,Student499
59,3,53,75,59,95,Student500
79,84,33,53,95,64,Student501
11,6,25,52,77,39,Student502
98,100,22,100,28,37,Student503
69,40,29,44,62,52,Student504
59,88,76,50,26,68,Student505
10,24,62,18,10,20,Student506
38,68,74,63,2,42,Student507
44,52,90,51,85,35,Student508
79,20,89,62,36,13,Student509
49,42,31,66,53,98,Student510
59,55,2,97,18,82,Student511
63,48,29,59,62,54,Student512
26,22,87,77,97,35,Student513
49,6,10,27,52,85,Student514
28,8,1,94,98,90,Student515
47,21,11,84,1,90,Student516
52,92,4,56,78,92,Student517
30,21,94,93,6,35,Student518
16,0,48,53,73,51,Student519
38,59,7,82,51,29,Student520
10,33,75,67,95,4,Student521
8,67,26,27,75,19,Student522
71,23,58,67,70,16,Student523
35,77,43,65,76,23,Student524
91,74,73,8,39,40,Student525
67,13,44,69,56,73,Student526
47,16,36,82,91,67,Student527
93,69,80,75,43,30,Student528
42,77,76,24,65,35,Student529
51,5,77,15,5,68,Student530
77,97,29,96,61,55,Student531
79,50,31,63,5,79,Student532
12,97,11,15,90,7,Student533
67,39,51,16,94,70,Student534
66,11,5,20,26,90,Student535
12,44,64,78,22,81,Student536
82,25,56,43,81,13,Student537
93,63,72,80,29,66,Student538
40,25,82,0,8,89,Student539
39,16,7,71,95,64,Student540
79,86,38,26,81,71,Student541
22,82,61,69,60,6,Student542
79,73,1,79,49,12,Student543
73,18,4,12,34,49,Student544
59,33,72,75,24,47,Student545
22,31,9,96,5,6,Student546
49,83,11,88,26,26,Student547
65,17,89,69,20,38,Student548
93,73,83,64,18,19,Student549
35,61,87,7,5,29,Student550
18,75,52,30,74,60,Student551
4,50,18,73,93,63,Student552
87,87,15,64,13,84,Student553
88,69,54,74,89,63,Student554
62,56,78,8,34,77,Student555
61,74,50,100,3,95,Student556
40,22,63,80,27,13,Student557
45,30,24,10,78,16,Student558
49,55,39,73,15,51,Student559
62,22,39,74,93,46,Student560
67,70,96,4,45,3,Student561
57,6,48,1,100,11,Student562
28,28,55,92,34,13,Student563
93,41,76,93,38,19,Student564
45,46,74,56,25,99,Student565
21,29,29,6,91,91,Student566
73,55,36,76,12,27,Student567
91,56,69,11,81,44,Student568
10,71,95,72,65,37,Student569
64,7,25,7,32,89,Student570
30,67,60,93,32,24,Student571
84,0,62,13,74,83,Student572
46,40,39,53,14,67,Student573
47,57,17,68,45,81,Student574
99,20,51,71,5,62,Student575
93,64,26,37,0,95,Student576
67,90,94,59,29,32,Student577
11,79,75,74,24,44,Student578
34,6,37,71,42,31,Student579
32,53,88,100,40,31,Student580
82,43,100,22,13,100,Student581
75,70,8,35,35,81,Student582
85,52,88,97,10,77,Student583
47,35,79,12,80,45,Student584
1,74,79,0,43,87,Student585
98,22,57,28,36,79,Student586
13,23,28,64,61,22,Student587
47,16,79,36,92,63,Student588
35,26,91,26,63,23,Student589
82,36,31,81,51,60,Student590
54,59,63,66,10,7,Student591
69,3,18,56,2,86,Student592
84,73,80,21,50,84,Student593
9,73,69,76,48,90,Student594
43,59,72,29,73,22,Student595
62,51,72,9,28,94,Student596
31,20,83,87,81,32,Student597
23,86,34,61,40,5,Student598
56,82,86,33,1,74,Student599
62,89,4,20,27,19,Student600
96,17,3,93,96,27,Student601
44,87,43,26,0,57,Student602
31,44,100,32,26,16,Student603
15,48,70,100,33,54,Student604
73,52,67,17,3,53,Student605
10,77,52,95,59,19,Student606
83,90,63,61,92,47,Student607
35,16,45,9,89,78,Student608
0,3,62,36,82,48,Student609
65,5,23,9,76,34,Student610
95,34,28,53,21,34,Student611
13,29,15,11,61,72,Student612
89,36,48,55,85,55,Student613
62,26,85,49,67,42,Student614
93,67,47,59,61,15,Student615
13,55,87,61,6,67,Student616
76,12,57,70,34,71,Student617
5,18,55,87,77,35,Student618
79,36,20,2,78,59,Student619
87,50,19,19,50,31,Student620
41,4,96,22,47,47,Student621
15,1,99,31,85,14,Student622
74,1,67,22,98,16,Student623
73,65,32,70,58,85,Student624
52,74,73,41,19,65,Student625
59,38,1,30,79,23,Student626
41,51,84,54,22,1,Student627
100,57,92,84,40,2,Student628
70,16,88,39,31,71,Student629
54,55,49,95,88,77,Student630
73,37,58,15,60,68,Student631
55,99,89,32,78,75,Student632
7,18,4,47,100,5,Student633
71,92,99,59,32,88,Student634
84,86,74,71,33,73,Student635
73,78,86,29,8,66,Student636
17,52,25,37,90,96,Student637
30,61,46,60,10,60,Student638
95,7,100,10,65,62,Student639
46,64,89,60,86,91,Student640
84,8,4,3,60,5,Student641
82,97,99,56,53,75,Student642
30,33,14,17,27,92,Student643
56,22,25,81,63,49,Student644
100,59,47,62,55,79,Student645
86,87,75,80,83,87,Student646
69,61,40,19,91,68,Student647
0,63,75,62,78,43,Student648
47,94,60,20,66,87,Student649
75,5,36,29,44,25,Student650
53,0,22,8,11,96,Student651
76,72,44,60,31,80,Student652
69,78,91,33,32,48,Student653
32,8,62,37,47,86,Student654
16,57,93,31,11,50,Student655
94,58,91,75,40,51,Student656
79,51,92,9,67,1,Student657
18,88,9,34,56,64,Student658
81,9,71,74,29,70,Student659
79,2,87,0,46,17,Student660
47,88,49,18,19,86,Student661
70,82,11,38,22,31,Student662
10,8,61,11,96,88,Student663
16,33,50,62,15,53,Student664
38,15,100,60,64,86,Student665
54,94,9,24,37,42,Student666
92,41,1,70,22,29,Student667
88,2,81,55,94,55,Student668
30,92,19,36,83,88,Student669
90,67,72,32,39,64,Student670
9,31,58,50,86,83,Student671
96,11,3,45,45,89,Student672
22,7,88,55,92,24,Student673
5,15,25,97,22,7,Student674
60,28,0,98,75,50,Student675
54,4,0,12,59,32,Student676
87,85,94,74,61,89,Student677
58,72,64,55,13,74,Student678
36,92,1,1,26,65,Student679
66,22,100,24,99,91,Student680
47,34,36,25,83,29,Student681
67,2,18,60,91,87,Student682
12,59,16,4,18,13,Student683
50,63,100,26,14,57,Student684
81,24,73,5,87,72,Student685
64,53,13,65,35,43,Student686
21,38,77,12,41,45,Student687
32,97,18,72,26,16,Student688
16,0,21,96,100,14,Student689
9,91,85,87,0,7,Student690
68,41,41,19,45,78,Student691
47,15,57,91,15,25,Student692
88,86,62,23,65,10,Student693
58,28,72,4,61,30,Student694
0,29,38,9,3,70,Student695
7,27,48,45,76,39,Student696
71,37,9,75,77,72,Student697
17,12,18,56,94,90,Student698
15,92,41,78,47,90,Student699
57,77,4,39,99,63,Student700
10,54,90,67,8,10,Student701
2,25,90,15,67,50,Student702
15,1,67,26,13,91,Student703
38,18,29,83,8,99,Student704
2,75,11,7,40,45,Student705
22,39,87,87,77,90,Student706
18,92,12,42,70,51,Student707
90,59,81,47,12,18,Student708
64,10,47,21,64,17,Student709
62,71,27,51,80,25,Student710
65,67,7,62,37,76,Student711
63,1,86,34,22,51,Student712
47,54,50,17,90,97,Student713
93,96,76,23,23,88,Student714
88,91,32,48,19,99,Student715
91,7,22,0,58,53,Student716
93,59,27,89,64,57,Student717
51,96,44,82,11,54,Student718
46,1,35,56,57,92,Student719
20,95,1,5,17,58,Student720
0,99,73,36,80,7,Student721
95,42,42,15,26,43,Student722
37,37,88,79,22,50,Student723
14,99,52,50,82,29,Student724
98,27,33,0,2,11,Student725
69,10,63,30,48,31,Student726
21,78,42,0,42,47,Student727
79,79,37,17,96,83,Student728
88,45,24,32,61,26,Student729
94,68,76,30,77,22,Student730
23,82,40,88,8,23,Student731
45,18,58,24,91,59,Student732
66,74,70,74,58,49,Student733
80,21,36,90,0,98,Student734
82,15,58,100,79,10,Student735
5,45,28,38,63,93,Student736
19,58,46,90,13,7,Student737
76,53,7,30,14,21,Student738
66,14,14,74,98,100,Student739
8,72,82,6,95,42,Student740
9,82,96,71,76,93,Student741
5,92,96,23,42,60,Student742
24,56,87,52,67,81,Student743
38,75,42,52,39,15,Student744
100,65,23,47,7,69,Student745
76,28,90,63,36,53,Student746
97,99,55,35,57,81,Student747
60,21,71,51,99,69,Student748
5,30,74,18,7,18,Student749
98,17,56,5,31,95,Student750
23,97,46,84,57,55,Student751
60,70,6,12,94,69,Student752
87,4,65,36,81,45,Student753
87,58,42,54,39,61,Student754
29,80,41,7,33,57,Student755
93,33,50,27,9,89,Student756
25,48,14,16,65,96,Student757
57,54,49,2,96,59,Student758
38,14,98,98,56,17,Student759
4,98,40,20,69,14,Student760
34,3,93,33,100,25,Student761
82,10,23,79,81,65,Student762
51,27,4,93,33,59,Student763
89,42,95,84,19,93,Student764
43,61,25,26,1,65,Student765
32,73,88,91,18,50,Student766
13,37,43,96,17,5,Student767
18,98,55,47,98,28,Student768
62,5,59,86,70,63,Student769
72,28,58,99,77,48,Student770
93,88,51,97,28,32,Student771
18,69,82,87,14,93,Student772
93,56,2,21,4,3,Student773
17,8,19,51,61,37,Student774
87,78,92,25,20,59,Student775
60,33,76,67,21,84,Student776
7,62,56,66,25,6,Student777
44,53,46,21,84,10,Student778
15,0,81,33,34,86,Student779
76,90,44,35,97,98,Student780
63,7,7,4,66,84,Student781
62,40,64,31,84,15,Student782
0,90,66,45,90,29,Student783
53,2,94,96,80,38,Student784
57,1,23,18,73,2,Student785
26,20,55,80,48,74,Student786
28,92,7,83,33,18,Student787
1,16,43,12,53,30,Student788
23,29,65,57,74,21,Student789
7,73,46,76,79,96,Student790
38,17,46,72,37,81,Student791
78,39,21,88,88,20,Student792
43,8,81,47,27,67,Student793
37,98,57,52,66,78,Student794
95,72,38,0,50,86,Student795
78,95,99,92,92,67,Student796
82,67,11,15,68,22,Student797
63,75,45,90,5,16,Student798
56,85,38,24,15,3,Student799
94,97,63,67,3,26,Student800
46,22,53,21,28,22,Student801
47,61,41,2,7,8,Student802
34,100,63,85,31,5,Student803
68,28,24,89,13,16,Student804
77,84,15,54,77,83,Student805
9,6,87,70,58,90,Student806
0,38,62,82,37,25,Student807
10,28,73,40,61,52,Student808
99,33,30,43,8,34,Student809
7,84,24,68,32,76,Student810
60,96,98,0,75,10,Student811
52,9,33,56,9,18,Student812
40,76,62,50,65,100,Student813
73,41,6,32,68,45,Student814
54,85,59,65,22,72,Student815
23,35,15,88,58,51,Student816
22,22,57,30,17,25,Student817
23,78,32,85,83,81,Student818
57,11,10,91,100,83,Student819
29,73,33,79,90,53,Student820
71,23,90,26,86,85,Student821
24,20,67,56,55,43,Student822
4,97,83,65,79,98,Student823
15,52,7,2,17,61,Student824
34,38,100,95,26,99,Student825
33,6,5,1,0,75,Student826
98,19,86,21,33,7,Student827
3,39,20,87,43,93,Student828
71,39,29,1,70,3,Student829
31,15,92,77,23,43,Student830
43,4,49,20,54,18,Student831
76,95,87,6,19,74,Student832
34,76,54,1,56,62,Student833
75,20,42,28,54,59,Student834
25,37,64,16,0,2,Student835
4,88,86,25,72,8,Student836
57,12,95,95,49,86,Student837
60,13,43,23,20,60,Student838
87,2,92,2,96,53,Student839
74,25,37,1,99,14,Student840
37,93,55,86,24,20,Student841
72,18,22,70,44,22,Student842
99,65,69,5,25,9,Student843
60,25,19,54,76,33,Student844
31,12,87,51,7,25,Student845
72,57,25,98,72,61,Student846
32,57,93,3,33,31,Student847
0,0,75,10,18,51,Student848
98,61,50,75,39,0,Student849
85,63,6,67,6,44,Student850
62,51,49,6,75,88,Student851
70,90,26,39,10,84,Student852
2,11,28,46,99,19,Student853
60,60,42,95,8,12,Student854
83,70,9,99,10,28,Student855
58,33,63,88,41,33,Student856
87,20,25,16,73,73,Student857
17,51,27,31,40,4,Student858
77,25,42,60,98,62,Student859
0,8,76,70,88,9,Student860
42,13,0,22,51,85,Student861
90,4,93,98,22,4,Student862
61,29,86,16,53,55,Student863
28,35,51,34,79,75,Student864
31,51,61,35,44,20,Student865
92,25,85,3,29,6,Student866
9,97,72,93,63,70,Student867
26,48,24,99,94,55,Student868
17,0,10,67,37,98,Student869
94,70,22,69,7,45,Student870
